product,description,page
ARDEX B 10,"Opis: Cementowa masa szpachlowa-gładziowa do betonu. Na bazie szybkowiążącego cementu witteńskiego 32,5 R-SF. Do wypełniania drobnych rys i porów w powierzchniach betonowych oraz do szpachlowania końcowego po naprawach elementów betonowych. Do nakładania warstw o grubości do 3 mm. Grubość nakładanej warstwy można sprowadzić do zera. Szpachlowanie końcowe, szpachlowanie wiążące i wzmacniające powierzchnię i jako podkład pod warstwy farby. Wygładzanie, naprawa i pokrywanie powierzchni ścian i sufitów betonowych. Wypełnianie drobnych rys i porów w powierzchniach betonowych. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 8,5 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,2 kg/l. gęstość świeżej zaprawy: ok. 1,6 kg/l. Zużycie materiału: ok. 1,2 kg m2/mm. Czas pracy (20°C): ok. 30 min. Wartość pH: ok. 12. Własności korozyjne: nie zawiera składników o działaniu korozyjnym na stal. GISCODE: ZP 1 - produkt zawiera cement niskochromianowy. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 50150 40 24705 50150 7 40 worków",2
ARDEX B 12,"Opis: Cementowa masa szpachlowa do betonu. Na bazie cementu, do wygładzania i wypełniania ubytków. Odporna na działanie wody i czynników atmosferycznych. Do tworzenia warstw do grubości 5 mm; powyżej 5 mm zalecane wymieszanie z piaskiem lub żwirem. Wygładzanie, naprawianie, wyrównywanie i pokrywanie powierzchni ścian i sufitów wykonanych z betonu warstwowego, prefabrykatów betonowych, tynku cementowego oraz wapiennego, surowego muru. Zapełnianie rys, otworów i zagłębień o dużej powierzchni na ścianach, sufitach. Wygładzanie wewnętrznych powierzchni ścian z gazobetonu. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 8,5 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,1 kg/l. Gęstość świeżej zaprawy: ok. 1,7 kg/l. Zużycie materiału: ok. 1,2 kg m2/mm. Czas pracy (20°C): ok. 45 min. Wartość pH: ok. 12. Własności korozyjne: nie zawiera składników o działaniu korozyjnym na stal. GISCODE: ZP 1 - produkt zawiera cement niskochromianowy. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 50110 40 24705 50110 1 40 worków",3
ARDEX B 14,"Opis: Cementowa zaprawa do napraw konstrukcyjnych elementów betonowych. Na bazie cementu, do wygładzania i wypełniania ubytków. Odporna na działanie wody i czynników atmosferycznych. Do tworzenia warstw do grubości 5 mm; powyżej 5 mm zalecane wymieszanie z piaskiem lub żwirem. Wygładzanie, naprawianie, wyrównywanie i pokrywanie powierzchni ścian i sufitów wykonanych z betonu warstwowego, prefabrykatów betonowych, tynku cementowego oraz wapiennego, surowego muru. Zapełnianie rys, otworów i zagłębień o dużej powierzchni na ścianach, sufitach. Wygładzanie wewnętrznych powierzchni ścian z gazobetonu. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 8,5 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,1 kg/l. Gęstość świeżej zaprawy: ok. 1,7 kg/l. Zużycie materiału: ok. 1,2 kg m2/mm. Czas pracy (20°C): ok. 45 min . Wartość pH: ok. 12. Własności korozyjne: nie zawiera składników o działaniu korozyjnym na stal. GISCODE: ZP 1 - produkt zawiera cement niskochromianowy. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 50130 40 24705 50130 9 40 worków",4
ARDEX B 16,"Opis: Cementowa zaprawa R4 do napraw konstrukcyjnych z ochroną antykorozyjną. Materiał wzmocniony włóknami. Do naprawy, wypełniania i wygładzania elementów konstrukcyjnych z betonu. Chroni zbrojenie przed korozją. Grubowarstwowa zaprawa o właściwościach antykorozyjnych. Do wypełniania i uzupełniania otworów, wyłomów i pustek. Do naprawy lub wyrównywania powierzchni betonowych. Grubość warstwy do 70 mm. Chroni zbrojenie przed korozją. Odpowiedni dla beton, beton wielowarstwowy, beton prefabrykowany, tynk cementowy. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: 4,0-4,25 l wody : 25 kg proszku Ciężar właściwy: 1,4 kg/l. Ciężar świeżej zaprawy: 2,1 kg/l. Zużycie materiału: ok. 1,8 kg/m˛/mm. Czas pracy (+20°C): ok. 60 min. GISCODE: ZP 1 - produkt zawiera cement niskochromianowy. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25kg worek 32586 40 24705 32586 8 40 worków",5
ARDEX AM 100,"Opis: Cementowa zaprawa wyrównująca. Na bazie cementu, do wyrównywania, napraw i wygładzania powierzchni ścian w cienkich i grubych warstwach wewnątrz i na zewnątrz budynków oraz pod wodą. Do wykonywania warstw wyrównujących, napraw powierzchni podłóg betonowych i jastrychów przed ułożeniem okładzin z płytek ceramicznych oraz płyt. Już po 2 godzinach możliwość rozpoczęcia układania płytek. Zaprawa jest wolna od naprężeń, odporna na działanie wody oraz czynników atmosferycznych, łatwa do stosowania. Możliwość wygładzania i uzyskania bardzo gładkich podłoży, nakładanie warstw o grubości od 5 do 50 mm. Do wygładzania, szpachlowania i wypełniania powierzchni ścian i podłóg z betonu, muru (oprócz gazobetonu), tynków. Do wyrównywania i poziomowania powierzchni podłogowych z betonu lub jastrychów cementowych, w celu końcowego układania płytek lub innych okładzin podłogowych. Do stosowania: wewnątrz i zewnątrz, ściany i podłogi. Proporcje mieszania: ok. 5,5-6,5 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,4 kg/l. Gęstość świeżej zaprawy: ok. 1,7 kg/l. Zużycie materiału: ok. 1,4 kg m2/mm. Czas pracy (20°C): ok. 30-40 min. Klejenie płytek (20°C): po ok. 2 godz. Klejenie kamienia naturalnego (20°C): po wyschnięciu. GISCODE: Zp 1 - produkt zawiera cement niskochromianowy. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 56172 40 24705 56173 0 40 worków",6
ARDEX CEM GROUT,"Opis: Bezskurczowa zaprawa montażowa do podlewek, do kotwienia części metalowych, osadzania ścian, słupów itp. Zgodna z normą PN-EN 1504-6. Do stosowania: wewnątrz i zewnątrz. Wygląd: szary proszek. Proporcje mieszania: ok. 4 l wody : 25 kg proszku. Ciężar świeżej zaprawy: ok. 2.2 kg/l. Żużycie: ok. 1.9 kg proszku na m2 i mm. Wytrzymałość na ściskanie: Po 1 dniu, ok. 30 N/mm2, Po 7 dniach ok. 62 N/mm2, Po 28 dniach, ok. 74 N/mm2. Wytrzymałość na zginanie: po 1 dniu, ok. 5 N/mm2, po 7 dniach, ok. 8.8 N/mm2, po 28 dniach, ok. 10.6 N/mm2. Pęcznienie: po 28 dniach +0.1%. Opakowania: worki 25 kg netto. Magazynowanie: Przez okres 12 miesięcy w oryginalnie zamkniętych opakowaniach, w suchych pomieszczeniach.",7
ARDEX HUMISTOP,"Opis: Powłoka ochronna przeciw wodzie i wilgoci, szara. Cementowa powłoka uszczelniająca do konstrukcji betonowych i murowych. Wysoki efekt hydrofobowy. Odporna na ujemne i pozytywne działanie wody Zgodna z normą PN-EN 1504-2. Jako warstwa ochronna przed działaniem wody na powierzchni betonu, murów powyżej i poniżej poziomu gruntu. Do takich obiektów jak: pomieszczenia piwnic, zbiorników na wodę, tuneli, szybów windowych, rur betonowych itp. HUMISTOP jest odporny na ujemne i pozytywne działanie wody. HUMISTOP charakteryzuje się bardzo dobrą przyczepnością do porowatych, wilgotnych podłoży takich jak np. beton, zaprawy cementowe, cegła itp. Jest paroprzepuszczalny. Ogranicza ryzyko powstawania wykwitów wapiennych. Stanowi warstwę ochronną i dekoracyjną. Do stosowania: wewnątrz i zewnątrz. Kolor: szary. Proporcje mieszania: 7,5 l wody na 25 kg proszku - dla metody malarskiej; 5 l wody na 25 kg proszku dla metody szpachlowej. Gęstość świeżej zaprawy: ok. 1,9 kg/l - dla metody malarskiej; ok. 1,95 kg/l - dla metody szpachlowej. Zużycie: ok. 1,45 kg/m2 - dla metody malarskiej; ok. 1,6 kg/m2 - dla metody szpachlowej. Wytrzymałość na ściskanie: ok. 30 N/mm2 Wytrzymałość na zginanie: ok. 7 N/mm2 Proporcje mieszania: 7,5 l wody na 25 kg proszku - dla metody malarskiej; 5 l wody na 25 kg proszku - dla metody szpachlowej. Gęstość świeżej zaprawy: ok. 1,9 kg/l - dla metody malarskiej; ok. 1,95 kg/l - dla metody szpachlowej. Zużycie: ok. 1,45 kg/m2 dla metody malarskiej. Czas pracy (20⁰c): < ok. 3 h. Opakowania: worki 25 kg netto. Magazynowanie: w oryginalnie zamkniętych opakowaniach przez 12 miesięcy.",8
ARDEX HUMISTOP FLEX,"Opis: Dodatek uelastyczniający HUMISTOP. Wodna dyspersja żywic syntetycznych. Zwiększa elastyczność zaprawy. Poprawia przyczepność zaprawy do podłoża. Podwyższa hydrofobowość zaprawy. HUMISTOP FLEX jest oparty na wodnej dyspersji żywic syntetycznych. Przeznaczony do mieszania z zaprawą HUMISTOP. Dodatek powoduje zwiększenie elastyczności zaprawy poprawiając jednocześnie przyczepność, hydrofobowość i wytrzymałość na zginanie. Szczególnie wskazany w obszarach gdzie występuję konieczność zastosowania zaprawy o podwyższonej elastyczności. Sposób użycia: Podłoże musi być nośne i oczyszczone z substancji obniżających przyczepność. Dyspersję HUMISTOP FLEX wymieszać z proszkiem HUMISTOP w proporcji: 10 kg HUMISTOP FLEX : 25 kg proszku HUMISTOP. W przypadku konieczności zaprawy o bardziej płynnej konsystencji dodać 0,5 l wody na każde 10 kg dyspersji HUMISTOP FLEX. Stosować w temperaturach +5ºC – +30ºC. Wyższe temperatury skracają a dłuższe wydłużają czas pracę. Środki ostrożności: Wodna dyspersja żywicy syntetycznej. W przypadku kontaktu z oczami skontaktować się z lekarzem. Stosować odpowiednie środki ochronne. W stanie związanym fizjologicznie i biologicznie neutralny. Do stosowania: wewnątrz i zewnątrz. Baza produktu: wodna dyspersja żywicy syntetycznej. Proporcje mieszania: 10 kg dyspersji na 25 kg proszku. Gęstość: ok. 1,0 kg/l. Czas użycia: ok. 45 minut. Możliwość obciążania: ok. 2 godziny. Opakowania: wiadro 10 kg netto. Magazynowanie: wodna dyspersja żywicy syntetycznej w oryginalnie zamkniętych opakowaniach przez 12 miesięcy.",9
ARDEX QS,"Opis: Piasek kwarcowy. Do użycia z produktami: „EP 2000”, „P2-K”, „FB” Uziarnienie: 0,2-0,6 mm. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 73124 40 24705 73124 9 40 worków",10
ARDEX E 100,"Opis: Plastyfikator do zapraw. Akrylowy dodatek modyfikujący do zapraw cementowych. Łatwy w zastosowaniu, nie zawiera środków rozpuszczalnikowych, zwiększa wytrzymałość, elastyczność i przyczepność zapraw, redukuje powstawanie rys i odprysków materiału. Materiał odporny na alkalia, zabezpiecza antykorozyjnie elementy stalowe. Dodatek do zapraw wykonanych z szybkowiążącego cementu witteńskiego 32,5 „R-SF”, normalnych cementów, szybkowiążącej zaprawy witteńskiej „M4”, „B 12” szpachlówki do betonów, „B 14” cementowej zaprawy do napraw elementów betonowych, „B 10” szpachlówki do dokładnych prac wykończeniowych na powierzchniach betonowych, „F 11” fasadowej masy szpachlowej. Dodatek do szlamów sczepnych. Poprawia wytrzymałość, elastyczność, przyczepność, hydrofobowość, relaksuje naprężenia skurczowe. Poprawia wytrzymałość na zginanie i rozciąganie, przyczepność do podłoża, zwiększa elastyczność zapraw i betonów. Poprawia plastyczność i urabialność zaprawy bez zwiększania zawartości płynu zarobowego. Umożliwia trwałe naprawy betonu, tynków i jastrychów, prefabrykatów betonowych (ubytki, wypełnianie pustek, rogów i krawędzi). Pozwala na stosowanie cieńszych warstw zapraw sczepnych, zwiększa odporność na ścieranie, elastyczność i poprawia przyczepność zapraw i warstw tynku również na gładkim podłożu. Podnosi zdolność wiązania zaprawy do układania płytek ceramicznych i płyt z kamienia naturalnego. Do stosowania: wewnątrz i zewnątrz. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 5 kg wiadro 59280 40 24705 59280 2 72 wiadra 20 kg wiadro 59260 40 24705 59260 4 24 wiadra",11
